iter	Passed	Remaining
632	18149	10522
633	18177	10493
634	18205	10464
635	18234	10435
636	18263	10407
637	18290	10377
638	18304	10341
639	18332	10312
640	18361	10283
641	18390	10255
642	18419	10226
643	18447	10197
644	18475	10168
645	18504	10140
646	18531	10110
647	18560	10082
648	18588	10053
649	18616	10024
650	18646	9996
651	18673	9966
652	18702	9938
653	18724	9906
654	18752	9877
655	18780	9848
656	18809	9820
657	18839	9791
658	18867	9763
659	18897	9735
660	18926	9706
661	18934	9667
662	18955	9635
663	18985	9606
664	18999	9571
665	19028	9542
666	19043	9507
667	19072	9479
668	19100	9450
669	19128	9421
670	19158	9393
671	19187	9365
672	19216	9336
673	19245	9308
674	19272	9279
675	19302	9251
676	19329	9222
677	19358	9193
678	19387	9165
679	19417	9137
680	19444	9108
681	19473	9079
682	19495	9048
683	19516	9016
684	19544	8987
685	19574	8959
686	19603	8931
687	19632	8902
688	19659	8873
689	19686	8844
690	19715	8816
691	19743	8787
692	19770	8758
693	19799	8729
694	19813	8695
695	19841	8666
696	19871	8638
697	19900	8610
698	19928	8581
699	19956	8552
700	19985	8524
701	20013	8495
702	20041	8467
703	20072	8439
704	20094	8408
705	20116	8376
706	20143	8347
707	20170	8318
708	20196	8289
709	20224	8260
710	20253	8232
711	20280	8203
712	20308	8174
713	20336	8146
714	20357	8114
715	20385	8085
716	20412	8056
717	20433	8025
718	20461	7996
719	20488	7967
720	20503	7934
721	20530	7905
722	20558	7876
723	20585	7847
724	20613	7818
725	20641	7790
726	20662	7759
727	20689	7730
728	20717	7701
729	20725	7665
730	20754	7637
731	20783	7609
732	20812	7581
733	20841	7552
734	20869	7524
735	20897	7495
736	20924	7467
737	20952	7438
738	20974	7407
739	21002	7379
740	21029	7350
741	21057	7322
742	21086	7293
743	21100	7260
744	21128	7231
745	21156	7203
746	21191	7177
747	21226	7151
748	21256	7123
749	21275	7091
750	21323	7070
751	21353	7042
752	21388	7016
753	21424	6989
754	21472	6967
755	21502	6939
756	21530	6911
757	21559	6883
758	21588	6854
759	21616	6826
760	21644	6797
761	21673	6769
762	21700	6740
763	21729	6712
764	21759	6684
765	21788	6655
766	21817	6627
767	21845	6599
768	21874	6570
769	21903	6542
770	21933	6514
771	21964	6486
772	21994	6458
773	22021	6430
774	22050	6401
775	22078	6373
776	22107	6344
777	22135	6316
778	22162	6287
779	22191	6259
780	22218	6230
781	22248	6202
782	22280	6174
783	22307	6145
784	22335	6117
785	22363	6088
786	22393	6060
787	22421	6032
788	22450	6003
789	22479	5975
790	22507	5947
791	22536	5918
792	22566	5890
793	22596	5862
794	22624	5833
795	22656	5806
796	22678	5776
797	22707	5747
798	22734	5719
799	22762	5690
800	22790	5662
801	22818	5633
802	22846	5604
803	22878	5577
804	22908	5549
805	22936	5520
806	22965	5492
807	22993	5463
808	23023	5435
809	23051	5407
810	23080	5378
811	23108	5350
812	23136	5321
813	23164	5293
814	23178	5261
815	23206	5232
816	23233	5203
817	23261	5175
818	23290	5147
819	23319	5118
820	23349	5090
821	23378	5062
822	23406	5034
823	23435	5005
824	23464	4977
825	23492	4948
826	23522	4920
827	23551	4892
828	23579	4863
829	23607	4835
830	23633	4806
831	23662	4778
832	23690	4749
833	23719	4721
834	23747	4692
835	23775	4664
836	23797	4634
837	23825	4605
838	23854	4577
839	23887	4550
840	23916	4521
841	23945	4493
842	23959	4462
843	23987	4433
844	24015	4405
845	24043	4376
846	24071	4348
847	24099	4319
848	24128	4291
849	24155	4262
850	24185	4234
851	24200	4203
852	24228	4175
853	24256	4146
854	24285	4118
855	24315	4090
856	24345	4062
857	24373	4033
858	24401	4005
859	24429	3976
860	24458	3948
861	24486	3920
862	24514	3891
863	24542	3863
864	24571	3834
865	24600	3806
866	24629	3778
867	24657	3749
868	24686	3721
869	24714	3692
870	24746	3665
871	24774	3636
872	24804	3608
873	24832	3579
874	24860	3551
875	24888	3523
876	24917	3494
877	24946	3466
878	24975	3438
879	25003	3409
880	25031	3381
881	25059	3352
882	25087	3324
883	25114	3295
884	25141	3267
885	25169	3238
886	25197	3210
887	25226	3181
888	25254	3153
889	25282	3124
890	25310	3096
891	25339	3068
892	25368	3039
893	25397	3011
894	25424	2982
895	25452	2954
896	25480	2925
897	25509	2897
898	25539	2869
899	25555	2839
900	25584	2811
901	25612	2782
902	25639	2754
903	25667	2725
904	25695	2697
905	25722	2668
906	25753	2640
907	25782	2612
908	25811	2583
909	25839	2555
910	25867	2527
911	25896	2498
912	25923	2470
913	25950	2441
914	25980	2413
915	26010	2385
916	26040	2357
917	26070	2328
918	26099	2300
919	26129	2272
920	26156	2243
921	26201	2216
922	26246	2189
923	26273	2161
924	26302	2132
925	26330	2104
926	26363	2076
927	26397	2048
928	26439	2020
929	26470	1992
930	26498	1963
931	26528	1935
932	26557	1907
933	26584	1878
934	26613	1850
935	26641	1821
936	26669	1793
937	26697	1764
938	26725	1736
939	26753	1707
940	26781	1679
941	26808	1650
942	26837	1622
943	26868	1593
944	26897	1565
945	26925	1536
946	26954	1508
947	26981	1480
948	27009	1451
949	27037	1423
950	27065	1394
951	27093	1366
952	27121	1337
953	27149	1309
954	27177	1280
955	27207	1252
